"title","author","description","thumbnailURL","categories","mediaURL"
"Presentation Design for Smart People","5aefb8879036811bc0eb1693","Hi! My goal for this course is to teach you, with as little BS as possible, how to create and deliver a compelling, effective, and attractive presentation","https://static.skillshare.com/uploads/video/thumbnails/36aa796ba337dff98a23e09effbd5738/448-252","business","https://f1.media.brightcove.com/12/3695997568001/3695997568001_5762620774001_5762510864001.mp4?pubId=3695997568001&videoId=5762510864001"
"Storytelling for Trust, Truth & Profit","5aefb8879036811bc0eb1693","Tell a story. Storytelling is a hack to trust, truth, and profit. And it may just be the most powerful tool in our leadership toolbox - that we’ve never used. Whops","https://static.skillshare.com/uploads/video/thumbnails/c3a1cac83420e0868599b8e7c1dec1dc/448-252","business","https://f1.media.brightcove.com/12/3695997568001/3695997568001_5767481532001_5767467506001.mp4?pubId=3695997568001&videoId=5767467506001"
"How to Pitch an Idea","5aefb8879036811bc0eb1693","If you’re an aspiring freelancer of any kind, half of your job is finding clients. Pitching yourself and your ideas is a specific skillset necessary to freelance success","https://static.skillshare.com/uploads/video/thumbnails/ac9ac450f338af6216cf15c15a2551e0/448-252","business","https://f1.media.brightcove.com/12/3695997568001/3695997568001_5755807347001_5755788519001.mp4?pubId=3695997568001&videoId=5755788519001"
"YouTube Marketing: Grow Your Business with YouTube","5aefb8879036811bc0eb1693","With modern YouTube Marketing techniques, you can find new customers, boost your conversions, and ultimately increase your revenue","https://static.skillshare.com/uploads/video/thumbnails/ca3ac7f99ece7b2120badd3ff56fcd56/448-252","business","https://f1.media.brightcove.com/12/3695997568001/3695997568001_5717855476001_5717626368001.mp4?pubId=3695997568001&videoId=5717626368001"
"Conquering Digital Marketing Part 1","5aefb8879036811bc0eb1693","Ready to conquer digital marketing? Learn what exactly encompasses digital marketing and how to gain valuable insight on your customers to effectively grow business","https://static.skillshare.com/uploads/video/thumbnails/07542b1df0df3bb02fc99e5994cf3adb/448-252","business","https://f1.media.brightcove.com/12/3695997568001/3695997568001_5758092706001_5758068270001.mp4?pubId=3695997568001&videoId=5758068270001"
"Learn How to Mix Music with Young Guru","5aefb8879036811bc0eb1693","From organizing a mix to adding effects, learn from the best. Join legendary Grammy nominee, producer, and DJ Young Guru to learn the essentials of audio engineering — so you can create the sound you want to hear in your music","https://static.skillshare.com/uploads/video/thumbnails/3756336274001/448-252","music","https://f1.media.brightcove.com/12/3695997568001/3695997568001_3927331952001_videoDSpcVM.mp4?pubId=3695997568001&videoId=3756336274001"
"Ultimate Ableton Live: Part 1 - The Interface & The Basics","5aefb8879036811bc0eb1693","For years I've been teaching Ableton Live in the college classroom. As a University Professor, my classes are sought after, and, frankly, expensive. I believe Ableton Live can be learned by anyone, and cost shouldn't be a barrier. This class uses the same outline and syllabus I've used in my college classes for years, at a fraction of the cost","https://static.skillshare.com/uploads/video/thumbnails/1c36e59bebb6b421ac0d51ba95cfadad/448-252","music","https://f1.media.brightcove.com/12/3695997568001/3695997568001_4688186337001_4688173827001.mp4?pubId=3695997568001&videoId=4688173827001"
"Music Theory Comprehensive: Part 1 - How To Read Music","5aefb8879036811bc0eb1693","For years I've been teaching Ableton Live in the college classroom. As a University Professor, my classes are sought after, and, frankly, expensive. I believe Ableton Live can be learned by anyone, and cost shouldn't be a barrier. This class uses the same outline and syllabus I've used in my college classes for years, at a fraction of the cost","https://static.skillshare.com/uploads/video/thumbnails/14a01c7d5492d0397c3d473a63309734/448-252","music","https://f1.media.brightcove.com/12/3695997568001/3695997568001_4913511446001_4913416953001.mp4?pubId=3695997568001&videoId=4913416953001"
"Music Theory Comprehensive: Part 2 - Chords, Scales, & Keys","5aefb8879036811bc0eb1693","For years I've been teaching Ableton Live in the college classroom. As a University Professor, my classes are sought after, and, frankly, expensive. I believe Ableton Live can be learned by anyone, and cost shouldn't be a barrier. This class uses the same outline and syllabus I've used in my college classes for years, at a fraction of the cost","https://static.skillshare.com/uploads/video/thumbnails/cc31b165bd39e4413add3227472c5c23/448-252","music","https://f1.media.brightcove.com/12/3695997568001/3695997568001_4913957105001_4913896567001.mp4?pubId=3695997568001&videoId=4913896567001"
"Learn How Young Guru Engineers for Jay Z: An Introduction to Audio Recording","5aefb8879036811bc0eb1693","Since Berliner’s phonautograph introduced the world to the concept of a playable audio track, human beings have been enamored with recorded sound. In the centuries following, technological innovation and studio wizardry have made the process immeasurably more complex, but there are several basic recording principles that still apply. Audio recording, the process of reproducing live sound, will always be a celebrated practice because it allows us to tell stories, share ideas and preserve our voices across nations and through generations","https://static.skillshare.com/uploads/video/thumbnails/3756504979001/448-252","music","https://f1.media.brightcove.com/12/3695997568001/3695997568001_3927462299001_videopXa92T.mp4?pubId=3695997568001&videoId=3756504979001"
"31 Day Guitar Challenge","5aefb8879036811bc0eb1693","I created this course because I want to give away everything that I learned to other new guitarists. I will show you the path to take to overcome any challenge or obstacle that may come your way. When I first picked up my guitar, I wished I had someone that could point me in the right direction when I felt stuck and wasn't improving like I wanted to. I will show you basic chords, techniques, songs, and scales to grasp the basic concept, but I want you to use my successes and failures to help you grow exceptionally fast while learning to play the guitar","https://static.skillshare.com/uploads/video/thumbnails/a7746acec7742f202c6a1c3978978db6/448-252","music","https://f1.media.brightcove.com/12/3695997568001/3695997568001_4895823001001_4687069610001.mp4?pubId=3695997568001&videoId=4687069610001"
"Ultimate Piano Course","5aefb8879036811bc0eb1693","Would you like to learn how to combine hands when playing piano? How to play by ear, play chords, play scales and compose music? How to read sheet music? How to learn a new song every day? And how to use piano chords to learn songs quicker and remember them better?","https://static.skillshare.com/uploads/video/thumbnails/d69342600811cca126def087268ed01b/448-252","music","https://f1.media.brightcove.com/12/3695997568001/3695997568001_5640537807001_5640505910001.mp4?pubId=3695997568001&videoId=5640505910001"
"Music Theory for Electronic Music Producers","5aefb8879036811bc0eb1693","A class designed for the electronic musician that wants to take their tracks to the next level. In this class we will focus on learning how to organize pitches and rhythms to make dynamic and interesting melodies and harmonies. No experience with music theory is necessary. Playing an instrument and reading music is also not necessary. We will be focusing on how to use your DAW as your instrument to create with","https://static.skillshare.com/uploads/video/thumbnails/0fafb368f2b5804837906cab07b9ba7c/448-252","music","https://f1.media.brightcove.com/12/3695997568001/3695997568001_4493502456001_4490221958001.mp4?pubId=3695997568001&videoId=4490221958001"
